-log10pvalue	-log10qvalue	rank	basepairs
180.50	171.08	1	5
178.91	170.27	6	3
177.33	168.87	9	1
175.75	167.33	10	1
173.49	165.11	11	2
172.60	164.30	13	1
171.03	162.76	14	1
170.49	162.25	15	12
168.99	161.00	27	3
167.89	159.95	30	1
167.50	159.57	31	2
166.01	158.11	33	5
164.52	156.68	38	1
163.03	155.20	39	2
161.55	153.75	41	2
158.59	150.81	43	1
158.49	150.72	44	2
157.07	149.32	46	1
155.66	147.92	47	2
154.24	146.51	49	4
152.83	145.14	53	2
152.71	145.03	55	3
151.25	143.60	58	1
148.44	140.79	59	1
148.33	140.69	60	1
146.41	138.78	61	2
144.38	136.76	63	2
143.97	136.37	65	1
143.16	135.56	66	9
142.54	135.00	75	1
141.19	133.65	76	16
141.10	133.65	92	1
140.36	132.91	93	1
139.22	131.78	94	3
138.35	130.92	97	2
138.22	130.80	99	1
137.68	130.26	100	1
137.38	129.97	101	2
137.26	129.86	103	2
135.63	128.23	105	1
135.36	127.97	106	1
135.31	127.92	107	5
134.34	126.97	112	3
133.94	126.58	115	1
133.90	126.55	116	15
133.69	126.39	131	1
133.41	126.11	132	1
133.36	126.07	133	4
132.38	125.10	137	1
132.35	125.07	138	2
132.16	124.89	140	7
132.04	124.79	147	1
131.41	124.16	148	2
131.07	123.83	150	1
130.43	123.19	151	6
130.36	123.14	157	2
129.76	122.54	159	1
129.68	122.47	160	2
129.47	122.26	162	1
129.32	122.12	163	1
128.69	121.49	164	12
128.44	121.27	176	1
128.38	121.21	177	5
128.27	121.11	182	1
126.61	119.46	183	1
126.40	119.25	184	2
125.83	118.68	186	1
125.60	118.45	187	2
125.46	118.32	189	2
125.26	118.12	191	1
124.53	117.40	192	2
123.67	116.54	194	1
123.54	116.41	195	1
122.58	115.46	196	1
122.46	115.34	197	4
121.83	114.72	201	1
121.81	114.70	202	3
121.75	114.64	205	3
121.26	114.16	208	1
120.49	113.39	209	2
119.90	112.81	211	1
119.87	112.78	212	2
119.84	112.75	214	2
119.28	112.20	216	1
118.48	111.40	217	2
118.42	111.34	219	1
118.04	110.97	220	1
117.93	110.86	221	1
117.38	110.31	222	5
117.10	110.04	227	3
116.82	109.76	230	1
116.72	109.67	231	4
116.58	109.53	235	5
116.02	108.98	240	1
115.91	108.88	241	1
115.48	108.45	242	4
115.17	108.14	246	4
115.02	108.00	250	2
114.64	107.62	252	5
114.12	107.11	257	1
113.59	106.58	258	4
113.52	106.52	262	3
113.27	106.28	265	1
112.97	105.98	266	4
112.23	105.24	270	2
111.96	104.98	272	2
111.88	104.90	274	7
111.70	104.73	281	6
111.65	104.69	287	3
111.60	104.65	290	3
110.76	103.81	293	4
110.64	103.70	297	2
110.34	103.40	299	1
110.24	103.30	300	3
109.82	102.88	303	15
109.34	102.43	318	1
108.88	101.97	319	1
108.84	101.93	320	4
108.60	101.69	324	1
108.46	101.55	325	1
108.03	101.13	326	3
107.95	101.05	329	8
107.52	100.63	337	1
106.98	100.09	338	1
106.97	100.08	339	8
106.91	100.03	347	7
106.63	99.76	354	1
106.08	99.21	355	6
105.35	98.49	361	5
105.00	98.15	366	11
104.97	98.13	377	1
104.81	97.97	378	1
104.71	97.87	379	1
104.33	97.49	380	7
104.22	97.39	387	6
104.14	97.32	393	2
103.73	96.91	395	3
103.09	96.27	398	7
102.88	96.07	405	2
102.85	96.04	407	2
102.47	95.66	409	5
102.36	95.56	414	2
102.12	95.32	416	1
101.66	94.86	417	1
101.56	94.76	418	1
101.37	94.58	419	3
101.18	94.39	422	5
100.99	94.20	427	1
100.86	94.07	428	1
100.78	94.00	429	2
100.62	93.84	431	2
100.51	93.73	433	3
100.01	93.23	436	1
99.51	92.73	437	8
99.45	92.68	445	1
99.29	92.52	446	1
99.14	92.37	447	1
99.00	92.23	448	2
98.85	92.09	450	10
98.77	92.02	460	2
98.66	91.91	462	1
98.32	91.57	463	1
98.12	91.37	464	1
97.72	90.97	465	1
97.66	90.91	466	7
97.39	90.65	473	7
97.31	90.57	480	1
96.93	90.20	481	4
96.85	90.12	485	4
96.82	90.09	489	1
96.79	90.06	490	1
96.73	90.00	491	1
96.45	89.73	492	1
95.81	89.09	493	6
95.51	88.79	499	8
95.47	88.76	507	1
95.19	88.48	508	1
95.10	88.39	509	6
94.85	88.14	515	5
94.72	88.02	520	3
94.40	87.70	523	1
94.34	87.64	524	1
94.12	87.42	525	2
93.97	87.27	527	2
93.92	87.23	529	1
93.63	86.94	530	2
93.62	86.93	532	2
93.27	86.58	534	22
93.16	86.49	556	2
92.86	86.19	558	15
92.84	86.18	573	1
92.58	85.92	574	1
92.54	85.88	575	3
92.14	85.49	578	2
92.10	85.45	580	2
91.85	85.20	582	1
91.76	85.11	583	5
91.53	84.88	588	1
91.45	84.80	589	9
91.00	84.36	598	9
90.96	84.33	607	2
90.88	84.25	609	3
90.77	84.14	612	3
90.64	84.01	615	4
90.32	83.69	619	1
90.22	83.60	620	1
90.16	83.54	621	1
90.11	83.49	622	2
89.90	83.28	624	3
89.78	83.16	627	5
89.63	83.01	632	5
89.53	82.92	637	2
89.25	82.64	639	1
89.18	82.57	640	14
89.15	82.55	654	3
88.96	82.36	657	7
88.90	82.31	664	3
88.87	82.28	667	1
88.50	81.91	668	5
88.16	81.57	673	2
88.04	81.45	675	1
87.99	81.40	676	10
87.82	81.24	686	9
87.73	81.16	695	3
87.72	81.15	698	2
87.67	81.10	700	2
87.62	81.05	702	7
87.53	80.96	709	1
87.20	80.63	710	5
87.17	80.61	715	2
87.02	80.46	717	1
86.53	79.97	718	1
86.35	79.79	719	15
86.33	79.78	734	2
86.28	79.73	736	6
86.26	79.71	742	3
86.21	79.67	745	9
86.19	79.65	754	3
86.02	79.48	757	2
85.99	79.45	759	3
85.53	79.00	762	3
85.46	78.93	765	3
85.38	78.85	768	1
85.04	78.51	769	3
84.88	78.35	772	2
84.84	78.31	774	6
84.71	78.19	780	1
84.45	77.93	781	1
84.44	77.92	782	2
84.23	77.71	784	4
84.13	77.61	788	4
83.76	77.24	792	2
83.59	77.07	794	1
83.40	76.88	795	1
83.16	76.64	796	1
83.08	76.56	797	1
83.03	76.52	798	2
82.97	76.46	800	1
82.92	76.41	801	11
82.76	76.25	812	13
82.67	76.17	825	5
82.51	76.01	830	1
82.44	75.94	831	4
82.35	75.85	835	9
82.25	75.76	844	1
82.21	75.72	845	3
81.97	75.48	848	3
81.81	75.32	851	1
81.41	74.92	852	2
81.40	74.91	854	15
81.29	74.81	869	2
81.20	74.72	871	2
81.08	74.60	873	2
80.98	74.51	875	1
80.91	74.44	876	25
80.68	74.22	901	6
80.67	74.21	907	1
80.66	74.20	908	1
80.56	74.10	909	7
80.55	74.09	916	9
80.08	73.63	925	1
79.97	73.52	926	6
79.94	73.49	932	1
79.88	73.43	933	3
79.86	73.41	936	10
79.73	73.29	946	14
79.45	73.02	960	5
79.15	72.72	965	8
79.12	72.69	973	5
78.89	72.46	978	1
78.86	72.43	979	6
78.80	72.38	985	14
78.67	72.25	999	4
78.55	72.13	1003	1
78.37	71.95	1004	7
78.34	71.93	1011	3
78.31	71.90	1014	16
78.29	71.89	1030	2
78.01	71.61	1032	6
77.73	71.33	1038	6
77.70	71.30	1044	5
77.43	71.03	1049	7
77.41	71.02	1056	12
77.22	70.83	1068	1
77.12	70.73	1069	3
77.05	70.66	1072	7
77.03	70.65	1079	15
76.86	70.48	1094	5
76.78	70.40	1099	13
76.76	70.39	1112	1
76.73	70.36	1113	1
76.53	70.16	1114	3
76.30	69.93	1117	26
76.28	69.92	1143	14
75.97	69.62	1157	1
75.95	69.60	1158	1
75.67	69.32	1159	11
75.66	69.31	1170	5
75.37	69.02	1175	6
75.30	68.96	1181	1
75.28	68.94	1182	14
75.27	68.93	1196	4
75.25	68.91	1200	8
75.23	68.90	1208	23
74.91	68.58	1231	2
74.90	68.57	1233	10
74.73	68.41	1243	15
74.56	68.24	1258	35
74.42	68.11	1293	1
74.30	68.00	1294	3
74.20	67.90	1297	1
73.94	67.64	1298	5
73.91	67.61	1303	3
73.80	67.50	1306	2
73.72	67.42	1308	29
73.62	67.33	1337	2
73.53	67.24	1339	8
73.50	67.21	1347	8
73.44	67.16	1355	1
73.16	66.88	1356	1
73.04	66.76	1357	1
72.87	66.59	1358	2
72.84	66.56	1360	12
72.59	66.31	1372	6
72.48	66.20	1378	1
72.45	66.17	1379	3
72.38	66.10	1382	2
72.20	65.92	1384	13
72.16	65.89	1397	4
72.11	65.84	1401	20
72.01	65.75	1421	7
71.88	65.62	1428	6
71.79	65.53	1434	22
71.65	65.40	1456	5
71.59	65.34	1461	2
71.48	65.23	1463	6
71.33	65.08	1469	1
71.31	65.06	1470	9
71.18	64.93	1479	3
71.15	64.90	1482	1
70.90	64.65	1483	1
70.89	64.64	1484	7
70.86	64.62	1491	5
70.72	64.48	1496	13
70.69	64.45	1509	24
70.50	64.27	1533	7
70.42	64.19	1540	2
70.34	64.11	1542	3
70.14	63.91	1545	2
70.06	63.83	1547	37
70.04	63.82	1584	4
69.95	63.73	1588	1
69.87	63.65	1589	18
69.68	63.47	1607	2
69.61	63.40	1609	1
69.59	63.38	1610	2
69.56	63.35	1612	7
69.45	63.24	1619	12
69.40	63.20	1631	2
69.34	63.14	1633	10
69.20	63.00	1643	9
69.19	62.99	1652	24
69.18	62.99	1676	4
68.95	62.76	1680	8
68.81	62.62	1688	4
68.80	62.61	1692	2
68.79	62.60	1694	1
68.73	62.54	1695	3
68.69	62.50	1698	3
68.68	62.49	1701	3
68.48	62.29	1704	8
68.45	62.27	1712	7
68.41	62.23	1719	2
68.33	62.15	1721	27
68.27	62.10	1748	1
68.11	61.94	1749	1
68.09	61.92	1750	4
68.01	61.84	1754	1
67.95	61.78	1755	16
67.89	61.72	1771	3
67.87	61.70	1774	1
67.80	61.63	1775	3
67.76	61.59	1778	4
67.70	61.53	1782	3
67.69	61.52	1785	18
67.54	61.38	1803	15
67.51	61.35	1818	2
67.27	61.11	1820	4
67.23	61.07	1824	7
67.09	60.94	1831	3
67.03	60.88	1834	29
66.97	60.82	1863	5
66.95	60.80	1868	6
66.94	60.80	1874	1
66.78	60.64	1875	8
66.75	60.61	1883	2
66.70	60.56	1885	2
66.62	60.48	1887	65
66.59	60.46	1952	1
66.51	60.38	1953	2
66.50	60.37	1955	5
66.34	60.22	1960	4
66.29	60.17	1964	1
66.20	60.08	1965	10
66.17	60.05	1975	2
66.09	59.97	1977	20
66.08	59.96	1997	1
66.04	59.92	1998	8
65.91	59.80	2006	10
65.84	59.73	2016	27
65.79	59.68	2043	2
65.67	59.56	2045	13
65.52	59.42	2058	2
65.45	59.35	2060	2
65.42	59.32	2062	2
65.40	59.30	2064	7
65.39	59.29	2071	16
65.25	59.15	2087	2
65.23	59.13	2089	6
65.12	59.02	2095	4
65.08	58.99	2099	2
65.06	58.97	2101	3
64.98	58.89	2104	3
64.91	58.82	2107	20
64.70	58.61	2127	32
64.63	58.55	2159	20
64.58	58.50	2179	14
64.47	58.39	2193	3
64.43	58.35	2196	2
64.41	58.34	2198	11
64.31	58.24	2209	12
64.29	58.22	2221	10
64.17	58.10	2231	7
64.12	58.05	2238	3
64.01	57.94	2241	2
63.98	57.91	2243	21
63.93	57.87	2264	1
