logFC	AveExpr	t	P.Value	adj.P.Val	B	BC_Het_82_d25_1	BC_Het_82_d25_2	BC_Het_82_d25_3	BC_WT_d25_1	BC_WT_d25_2	BC_WT_d25_3
GOPC	-7.44652823819747	8.9112503326442	-23.8778946688885	2.02916372066339e-13	4.11169444718024e-09	19.2943705776026	12.637479599455	12.4735722336533	12.7924915221205	5.39308190817278	5.08324795340278	5.08762877906085
SEPHS2	-7.6844331617816	11.1815924047435	-20.3205766191655	2.16885690866615e-12	2.19737737701511e-08	17.5861540950908	15.1374686754128	14.91131719955	15.0226410819402	6.87334379603257	8.20488056173427	6.93990311379136
C7orf29	6.34646656847629	7.49892338877724	19.2063809792537	4.93708379008861e-12	3.11813446768393e-08	16.9544073833655	4.25880201935334	3.9417940855808	4.77647420868316	10.5389084967468	10.70095895179	10.7766025705093
ZNF439	-5.96815380527619	6.66037242491436	-18.9174396382675	6.15532639329601e-12	3.11813446768393e-08	16.7818555338344	9.62439708543293	9.70385857980525	9.60509231741916	3.90099441613203	3.35859574115227	3.7692964095445
XAGE1A	7.46369799553251	8.3488062754265	17.908473050492	1.3634330747965e-11	5.52544887892029e-08	16.1489327332555	5.00276592965541	4.47183651074475	4.37626939258059	12.6883185459697	11.0468552441017	12.5067920295068
CRYZ	-5.24462937336235	6.67535998599866	-16.4578556146745	4.61033308548987e-11	1.47317459486089e-07	15.1484968382839	9.42450219574991	9.01014652062104	9.45837530166854	4.27848161628696	3.86767821197724	4.01297606968825
LOC550643	5.54704334798715	12.8349280895485	16.3449928288908	5.0891882564409e-11	1.47317459486089e-07	15.0657971257631	10.3366568517442	9.50735376152745	10.3402086333933	15.8081294838711	15.504993535726	15.5122262710293
APCDD1	-5.37767778603655	8.78888097423076	-15.9437838910639	7.26766670410529e-11	1.84080913031607e-07	14.7657498584068	11.5543750922323	11.1512549229552	11.7275295865596	5.93012205703274	6.55254380100894	5.81746038559578
LPPR5	-5.93017759335189	8.24909854942817	-15.0948748772572	1.58716291004729e-10	3.28393608608735e-07	14.0982088038921	11.2686938668397	10.9834204681944	11.3904477032782	6.11245568746099	4.48789271183719	5.2516808589585
TMEM236	-5.15166892553731	7.96194430969994	-15.07273995463	1.62065641123592e-10	3.28393608608735e-07	14.0801830431534	10.2843335213506	10.8795619720757	10.4494408239795	5.88183303823629	5.14638297259935	5.13011352995821
