logFC	AveExpr	t	P.Value	adj.P.Val	B	PP1_Hom_96_d10_1	PP1_Hom_96_d10_2	PP1_Hom_120_d10_1	PP1_Hom_120_d10_2	PP1_WT_d10_1	PP1_WT_d10_2
C20orf103	-6.0584333701372	10.7629795064653	-17.6554900015618	3.59648671591963e-08	0.000767993773317477	8.55824104706829	13.0755016629353	12.3231982637885	12.9566517882506	12.7744774710698	6.48907192840168	6.95897592434598
HOXB5	-4.40206872131041	9.78915163480818	-13.8606104907902	2.82317194421141e-07	0.00158394814083384	7.07492727222794	10.9660016896574	11.5924028551411	11.3297738173092	11.1378531388724	6.74724414655928	6.96163416130987
HOXB4	-4.38092145963991	9.88109696746018	-13.4956871976229	3.53574640612941e-07	0.00158394814083384	6.89881634405116	10.952068096198	11.3622966676418	11.5267718029602	11.5244799158939	6.7699333018111	7.15103202025606
GPR19	-5.07947828059362	10.0816380674673	-13.4223291764531	3.70187963208414e-07	0.00158394814083384	6.86256927278524	12.3445363871919	11.1438904399401	11.7400954000432	11.8706677501522	6.65579735114822	6.73484107632825
TEK	-4.33627946382907	9.52912434643923	-13.1911310363113	4.28478347166676e-07	0.00158394814083384	6.74642604467909	11.3711384525919	10.5727628868418	10.9442525827174	11.010049415378	6.67770781982514	6.59883492128123
AK095662	4.13926308068242	6.05591740176997	12.7092863044888	5.85616800122191e-07	0.00158394814083384	6.49473848328369	4.43527943449119	4.42151997043277	4.80186422274655	5.04598853849948	8.92778026086293	8.7030719835869
SCN4B	-4.41589454566167	9.4387444845907	-12.5430290522576	6.53907260774749e-07	0.00158394814083384	6.40475340078669	11.4152140086909	10.5195053895657	11.038389850068	10.6697280842537	6.61380089525856	6.37582867970728
ZIC2	-7.51392566336985	8.27251320091024	-12.4808721920711	6.81667611500506e-07	0.00158394814083384	6.37068419140682	10.5696848403846	9.39049619300502	11.4051495620982	11.743289759313	3.18238403585505	3.34407481480562
PAMR1	-4.6544348848016	8.56679754347987	-12.3594085156074	7.39764300499546e-07	0.00158394814083384	6.30342571987264	10.8258467087814	9.85231474038316	9.85626692836684	9.93867497612358	5.30966698286567	5.6180149243586
NMU	-3.84946348229965	11.8324570243907	-12.355431498645	7.41757113811857e-07	0.00158394814083384	6.30120812297677	13.3078804941651	12.8207255835781	12.9941482525943	13.3396917436248	9.32198653621723	9.21030953616465
BCAT1	-5.49637827362029	10.3354268658811	-12.1420143649334	8.57947310323706e-07	0.0016655097149684	6.18075241671443	11.9200153756533	11.3027702200899	12.7261796994845	12.7212465331239	6.54495872869381	6.79739063824138
lincRNA:chrX:113008710-113015135_R	-4.50370163084832	9.42490523654507	-11.5270708716555	1.32219237144727e-06	0.00210255679317985	5.81708235639957	11.1630042748521	10.1417375235386	11.1237755029882	11.2760391525992	6.50596561130879	6.33890935398359
KCNJ12	-3.74802986137667	8.751031679316	-11.5211678312702	1.32782427744747e-06	0.00210255679317985	5.8134673533642	10.4378593552436	9.74001505216617	9.8047858645494	10.0188395938071	6.25854533920803	6.24614487092175
CA4	-5.2895162599022	9.55739058334524	-11.3807525778751	1.46993950324945e-06	0.00210255679317985	5.7267573377552	12.0197449210054	10.3770200183785	11.6979575825202	11.1875281580131	6.19005627900093	5.87203654115327
CCK	-5.39015590281258	8.53684896935042	-11.3742384844164	1.47692946978073e-06	0.00210255679317985	5.72270092847463	9.98229063285337	9.4495301692189	10.9512319498389	10.951217662574	5.04880517088016	4.83801823073724
EMP1	-3.58279248967847	7.99474313515667	-11.1796658490277	1.7036707050798e-06	0.00215197965342751	5.60013446455815	9.39115967741776	8.93984754242874	9.29496361417326	9.13005835951154	5.33832036653025	5.87410925087846
CRABP1	-5.24579046237501	14.0905129768435	-11.0997050800702	1.80780651114261e-06	0.00215197965342751	5.54896707928658	15.3483899805654	15.0546909434619	16.4838015840726	16.4695566824407	10.5356115571831	10.6510271133372
CCND1	-4.11105463849364	8.56798886526084	-11.0951291123479	1.81397554377143e-06	0.00215197965342751	5.54602464200249	10.5096799072881	9.37232600838569	9.88263467975108	9.98872105027671	5.74277257137546	5.91179897448804
lincRNA:chrX:113041085-113233760_R	-4.99149342554176	9.36705038981556	-11.0007052210483	1.94661685891159e-06	0.00218779244237884	5.48496100877545	11.1596409818822	10.026351603549	11.6282750022207	11.3092585389994	5.96538994430278	6.11338626793931
GLI1	-4.86761458949523	9.48214866434888	-10.7867282331902	2.28874819947086e-06	0.00244369645257504	5.34409500578271	12.0460243483647	10.3735946223447	11.030247058623	10.9688814140567	6.24120878871823	6.23293575398588
FAM43B	-3.26154036789955	8.51783812950366	-10.6641115817285	2.51445411528339e-06	0.00255684062751245	5.26178558295265	9.61420184924247	9.35543146720888	9.79469996339689	9.65573972869915	6.50596561130879	6.18099015716581
NKX2-2	3.52442561027886	5.36717861725658	10.5369956607669	2.77473817619122e-06	0.0026189546808446	5.17520722113131	3.67972855796717	4.28697080366006	4.39572578533725	4.40705517502334	7.78591933345484	7.64767204809679
FBN2	-3.79133909847408	10.9818368445519	-10.4239860676196	3.03131261391463e-06	0.0026189546808446	5.09715058160844	12.3558821629482	11.6534217057336	12.3060466203769	12.6671156871144	8.27554521741864	8.6330096737197
SPRY1	-3.3449931875535	8.37010181918049	-10.3651435800517	3.17520994412009e-06	0.0026189546808446	5.05609705810553	9.88031606656939	9.25256508041418	9.43069035414591	9.37682669233049	5.97710983714015	6.30310288448284
ZIC5	-6.96939719938454	9.43313023458121	-10.3327069128233	3.2577498941379e-06	0.0026189546808446	5.03334509438693	11.2398759807341	10.3841196603333	12.2717185630531	13.1293363333837	5.00003502327969	4.57369584670335
CRABP2	-3.76821053558429	11.8813323976593	-10.3161100170595	3.30089826217012e-06	0.0026189546808446	5.02167004130745	13.134945108607	12.5094830354832	13.4583416881839	13.4468404724756	9.25011174562466	9.48827233558163
IRX2	-4.26107298360179	12.07722109936	-10.3121043208012	3.31140659280716e-06	0.0026189546808446	5.01884883260846	14.020506996424	13.4673509423159	12.6778190272812	13.8246380762211	9.28952449007684	9.18348706384074
CDH20	-3.04633999940492	5.32779841152603	-10.1322439008219	3.82360884083309e-06	0.00273413307196382	4.8907937008164	6.19679300559032	6.58269132864014	6.42462924945337	6.16886672829352	3.31981902276644	3.2739911344124
BDKRB2	-3.00864530677042	7.30283820336886	-10.1093611594565	3.89482729078386e-06	0.00273413307196382	4.87430641370421	8.42064727290735	8.47380954807253	8.118711123621	8.20971194456847	5.36717999773094	5.22696933331289
ID1	-3.55719220341463	14.1921974356336	-10.0998622107247	3.92482056843378e-06	0.00273413307196382	4.86744921518132	15.5053342993177	14.784249025207	15.5273636199047	15.6947657359911	11.7206691416557	11.9208027917253
TFAP2A	-4.15266865081938	7.31284625366087	-10.0812009420824	3.9844902526148e-06	0.00273413307196382	4.85395540320805	8.66163633453352	9.41534657058483	8.54872152055264	8.16257212339833	4.21151723877798	4.87728373411791
HOXB6	-4.11700952442245	9.10905007624538	-10.0091097388764	4.22460129836131e-06	0.00273413307196382	4.80154630865554	10.5770105372224	11.1350535100229	9.73178549580619	10.4816967944933	6.21874502707543	6.51000909285208
CXCL14	-4.47331910408413	13.3591802935863	-10.008915672654	4.22526886647963e-06	0.00273413307196382	4.80140462161809	14.1593603530704	15.2125320938431	14.7180111060235	15.3112430935204	9.84758530021972	10.9063498148407
ECEL1P2	-4.60126943401866	8.98538461315271	-9.94652665588111	4.4460475216161e-06	0.00279237937578207	4.75568537576026	11.1938805504529	9.50270905737993	10.6931531191557	10.6868216376472	5.81951466595716	6.01622864832336
LIMCH1	-3.14646339082264	9.65516377878542	-9.85819114631066	4.7807520264372e-06	0.00291680510778686	4.69037091375814	10.6096479684225	10.3777915187164	10.9880569150699	10.8404432340297	7.42187150114797	7.69317153532602
AGTR1	3.88972163808193	6.0305457043703	9.78232811908676	5.09049351959673e-06	0.00301951107270746	4.63372855541465	5.28445235214788	5.08194467426025	4.48761851518016	4.08187175845034	8.6433050444463	8.60408188173686
lincRNA:chrX:112980560-112994252_R	-4.22178595840946	8.59849298896648	-9.71295694899818	5.39321759622116e-06	0.00311261536620829	4.58148341778989	10.1066807873905	9.18821542807872	9.96360683802815	10.7645168469145	5.87368291087913	5.69425512250789
IER5	-2.98756861018831	11.7973295410698	-9.67820764493712	5.55228920016417e-06	0.00312009430474488	4.55514989302385	12.9573402835535	12.54971395903	13.0092906344515	12.6563981008285	9.91195483768927	9.69927943086585
MYOCD	2.98672251974059	5.84455521903175	9.64215418220002	5.7228262569556e-06	0.00313346748438538	4.52771229457325	5.20191748698305	4.82013378729373	4.69819350389366	4.67567940496913	7.79200129935353	7.87940583169743
FLJ45983	-4.34460464760595	9.23237592794021	-9.60104003054089	5.92439413604056e-06	0.00316273780952525	4.49627871902757	11.0808596728593	11.3696951296698	10.427987026686	9.84376807935356	6.16456343067319	6.5073822283993
PRR15L	3.24897020320196	8.72601524435857	9.5533156145595	6.16825848006785e-06	0.00321260955081387	4.45959680785143	7.4580433949115	8.18085321128603	7.58107145007316	7.35213265022763	10.8678520787513	10.9161386809018
UBD	3.73300962925824	8.16102017985112	9.44585760137478	6.75894824765647e-06	0.00339104333303705	4.37623016205617	6.31084170161876	7.36685787231956	7.12993841345547	6.85909655966636	11.0169491169895	10.2824374150571
RGS10	-3.09217436685741	10.3593684043316	-9.43389868692361	6.82845665077236e-06	0.00339104333303705	4.36688567348694	11.8002848534758	11.4078967781496	11.2286083693148	11.1235827721962	8.13826367958166	8.45757397327176
MAMDC2	-3.52404356132621	7.02538275082609	-9.35861677968822	7.28455392505155e-06	0.00351623087501802	4.30775210847157	8.19110712036676	7.57331493652608	8.55565345049856	8.48018024434791	4.92272757726949	4.42931317594776
VWC2	-3.96023645268514	6.18513732857545	-9.3388411278113	7.40987118927651e-06	0.00351623087501802	4.29212935717549	8.18088981188553	6.67609395273047	7.571284504836	7.59259631509664	3.61390466105153	3.47605472585251
MYCN	-3.45689435588957	12.0739160189322	-9.20903680528137	8.29394002467455e-06	0.00385019120188914	4.18865385917179	13.9325904414836	13.1313364282291	12.9992637904178	12.8416658901178	9.7391814968679	9.79945806647707
MSX2P1	-3.21333197040471	10.5148690825009	-9.15154067425766	8.72221218752524e-06	0.00396285359685987	4.14229878541444	11.0357815222973	11.6645706424546	11.7899923718714	11.8535744205866	8.17211881380908	8.57317672398651
CD52	-4.40210227003092	9.47110603776627	-9.11178020284307	9.0326302534113e-06	0.00401839138398635	4.11005350323996	11.2794035293529	11.8541693864791	10.2357323176016	10.384588611006	6.39790509741437	6.67483728474362
ZIC3	-6.36285492063133	9.57520783460745	-9.03513141340392	9.66601850700243e-06	0.00421241141221489	4.0474518959219	11.7528970165012	9.87641555973157	12.5851406875559	12.5701846354829	5.29354848586641	5.37306062250671
KCNB1	-3.96316505451027	7.98259637953516	-8.97546696163337	1.01929964712842e-05	0.00435322493295607	3.99831713434213	9.33509939809183	8.3540673191469	9.76523616851571	9.76020270506655	5.43755121590988	5.24342147048009
IFITM1	-5.86458456866263	10.9768882829215	-8.93023646743642	1.06136079261671e-05	0.00444398007167396	3.96083074168415	14.5541610703325	12.8562241006831	12.5318621744844	11.7847518777362	7.05576633895302	7.07856413533985
MIR205HG	-4.93818327286056	11.3905105601549	-8.83186828333726	1.15960148344814e-05	0.00474891031642478	3.87858815048939	14.1030997648869	13.5267312862133	12.2906131091146	12.2258424442189	7.84232715762478	8.35444959887096
NMNAT2	-2.66581002259092	8.35878244739636	-8.81384561519928	1.17866557446152e-05	0.00474891031642478	3.86341272194779	9.02116804704443	9.1353448315681	9.38327203068466	9.4497582437428	6.63831784944886	6.5248336818893
lincRNA:chrX:112812366-113316610_R	-4.1330768211545	7.23547851058302	-8.66739479493664	1.34703539638396e-05	0.00505389258786759	3.73885110325162	8.32458589236617	7.69722121154291	9.02795749357891	9.40291853971677	4.53087475034562	4.42931317594776
ASS1	-3.79274775523999	8.3299757762693	-8.64582154486933	1.37400492191427e-05	0.00505389258786759	3.72031288366255	10.5439448740944	9.21482523329246	9.53327476165227	9.0848552430247	5.84773601645639	5.75521852909556
SLC2A3	-2.78305638473541	10.2336428663212	-8.64218636107188	1.37860770838574e-05	0.00505389258786759	3.7171842869318	10.9473099068973	10.8977541834413	11.4783671327907	11.3218820884693	8.25307238335764	8.50347150297085
TMEM132E	-3.40532234054433	6.91491153516005	-8.64118022433329	1.37988465577094e-05	0.00505389258786759	3.71631811567954	7.64842736580606	7.64341087638977	8.12163003805547	8.78660764778134	4.60234845875171	4.68704482417595
SOX3	-5.45796092637925	12.1921596663614	-8.63614682033695	1.38629244490064e-05	0.00505389258786759	3.71198331298437	14.2710177183599	12.3789374278672	14.8645248408261	14.5314399135646	8.48438369276788	8.62265440478249
LMO1	-3.61561748487874	8.68788522473805	-8.62828672262397	1.39636444078012e-05	0.00505389258786759	3.70520878909313	10.8013187988512	9.66774316366633	9.49460494093763	9.60869730866866	6.26105073881659	6.29389639748786
WDR16	3.38566930303239	6.9457388364794	8.52221712564402	1.54046967021155e-05	0.00533830492249638	3.61314668518644	5.04481834252417	5.85577771787339	6.32548004421668	6.04265350392682	9.19081869190669	9.21488471842862
TRIM50	3.30732439667137	7.48684189724082	8.51790304133912	1.54666780190999e-05	0.00533830492249638	3.60937687205006	5.91342048800925	6.32306951526599	7.12711332593017	6.17399839752936	9.73165747558969	9.65179218112045
ERP27	-3.63142280524731	8.21922744416575	-8.51389785496107	1.55244673181082e-05	0.00533830492249638	3.60587519554975	9.75517203708419	10.0765661441775	8.9017581628927	8.98531050617173	5.49044604328065	6.10611177138778
TFPI	-2.85412086819293	9.49470510386542	-8.49846172478828	1.57494244692925e-05	0.00533830492249638	3.59236346751171	10.677563645732	9.94410087821411	10.4584734483139	10.7041769341255	7.5324050484861	7.65151066832082
KCNB2	2.84486399784647	8.12232808069146	8.4446088839926	1.65628105825262e-05	0.00552628526842602	3.54502295520258	6.92460966708899	7.61957067033282	6.85354202894041	7.298437959275	9.95269038320626	10.0851177753053
