# GREAT version 3.0.0	Species assembly: hg19	Association rule: Single nearest gene: 100000 bp max extension, curated regulatory domains included
NA_peak_21486	PDE5A (-68969)
NA_peak_8745	NONE
NA_peak_9358	NONE
NA_peak_22212	NONE
NA_peak_11250	NONE
NA_peak_22775	NONE
NA_peak_10602	NONE
NA_peak_13259	NONE
NA_peak_10006	FOXB1 (-50465)
NA_peak_30068	GRHL2 (-37470)
NA_peak_21793	NONE
NA_peak_155	CELA3A (-3633)
NA_peak_7983	NONE
NA_peak_24256	PFDN1 (+36465)
NA_peak_10894	NONE
NA_peak_17936	NONE
NA_peak_10628	ZNF689 (+46)
NA_peak_3457	NONE
NA_peak_12229	NONE
NA_peak_29286	UNC5D (+82167)
NA_peak_25184	HIST1H3H (+2217)
NA_peak_6893	NT5DC3 (-14238)
NA_peak_23327	LHFPL2 (-53173)
NA_peak_27897	NONE
NA_peak_1575	DPT (-72243)
NA_peak_10544	NONE
NA_peak_14109	PELI1 (-77035)
NA_peak_12425	NONE
NA_peak_5175	MMP27 (+33997)
NA_peak_3737	PIK3AP1 (+45899)
NA_peak_5764	PLEKHA5 (-63174)
NA_peak_21105	NONE
NA_peak_10123	TLE3 (-67106)
NA_peak_31602	KLF4 (-57515)
NA_peak_28220	PDK4 (-14401)
NA_peak_6213	SLC16A7 (+26372)
NA_peak_14296	CTNNA2 (-6655)
NA_peak_30324	ZHX2 (+6029)
NA_peak_27444	HOXA2 (+3196)
NA_peak_4304	NONE
NA_peak_26657	NONE
NA_peak_11998	NONE
NA_peak_8482	ARHGEF7 (-47341)
NA_peak_11392	TIAF1 (-30028)
NA_peak_6866	GAS2L3 (+8160)
NA_peak_23544	NR2F1 (-15755)
NA_peak_19904	CLDN1 (+15097)
NA_peak_11547	KRT39 (+9962)
NA_peak_4845	NONE
NA_peak_4102	NONE
NA_peak_28011	SEMA3A (+16706)
NA_peak_14645	NONE
NA_peak_16635	BCL2L1 (+18056)
NA_peak_20358	NONE
NA_peak_16504	NONE
NA_peak_6145	CALCOCO1 (-29799)
NA_peak_26572	SGK1 (+58942)
NA_peak_6569	NONE
NA_peak_14196	ANXA4 (+42259)
NA_peak_31307	NONE
NA_peak_32067	AP1S2 (-71858)
NA_peak_5471	TIRAP (-5034)
NA_peak_14986	NONE
NA_peak_12947	NONE
NA_peak_29335	NONE
NA_peak_6652	NONE
NA_peak_21883	DCLK2 (-23338)
NA_peak_17732	NONE
NA_peak_7142	GJB2 (-7802)
NA_peak_13967	NONE
NA_peak_15408	SP3 (+54699)
NA_peak_8421	NONE
NA_peak_8286	CLDN10 (+44160)
NA_peak_3509	NONE
NA_peak_27411	NONE
NA_peak_3806	SH3PXD2A (-876)
NA_peak_4468	CD59 (+41226)
NA_peak_24051	ZNF608 (-4068)
NA_peak_27012	NONE
NA_peak_3792	AS3MT (+7325)
NA_peak_22492	MED10 (+50144)
NA_peak_6755	EEA1 (-59521)
NA_peak_17312	NONE
NA_peak_13389	IRF3 (-135)
NA_peak_11929	PITPNC1 (+82034)
NA_peak_16718	NONE
NA_peak_3731	TCTN3 (+18244)
NA_peak_11388	VTN (+135)
NA_peak_11766	NONE
NA_peak_30646	NONE
NA_peak_27234	DGKB (-10491)
NA_peak_28639	NONE
NA_peak_12810	RAB27B (-60867)
NA_peak_12912	ZNF532 (+90466)
NA_peak_153	CELA3B (-3917)
NA_peak_32714	NONE
NA_peak_29940	CALB1 (-28873)
NA_peak_27619	INHBA (-29290)
NA_peak_33388	NONE
NA_peak_29831	NONE
NA_peak_32218	NONE
NA_peak_31509	NR4A3 (+32884)
NA_peak_15048	RND3 (+76317)
NA_peak_11786	MRPS23 (+16483)
NA_peak_853	DNASE2B (+35343)
NA_peak_28587	POT1 (-69479)
NA_peak_20928	RASGEF1B (+75250)
NA_peak_11509	TBC1D3 (-5087)
NA_peak_31216	NONE
NA_peak_26682	NONE
NA_peak_14587	DPP10 (-33443)
NA_peak_13551	NONE
NA_peak_25654	NONE
NA_peak_24267	SPRY4 (-35984)
NA_peak_12119	WDR45B (+11744)
NA_peak_24848	EEF1E1 (-93211)
NA_peak_13428	NONE
NA_peak_22885	LIFR (-53656)
NA_peak_30004	TP53INP1 (-10623)
NA_peak_29178	CLU (+11580)
NA_peak_3290	NONE
NA_peak_14740	ARHGEF4 (+50207)
NA_peak_9886	NONE
NA_peak_33062	AMOT (-14674)
NA_peak_5582	EFCAB4B (-16040)
NA_peak_29275	NONE
NA_peak_29310	NONE
NA_peak_18103	NONE
NA_peak_12330	NONE
NA_peak_10071	VWA9 (+27740)
NA_peak_6617	NONE
NA_peak_11622	KPNB1 (-29153)
NA_peak_23182	NONE
NA_peak_25828	CGA (+28237)
NA_peak_2028	CR1L (+13169)
NA_peak_4029	NONE
NA_peak_9533	MKRN3 (-61239)
NA_peak_7169	NONE
NA_peak_19512	NONE
NA_peak_18729	ZPLD1 (+22357)
NA_peak_13110	ZNF407 (+30189)
NA_peak_783	NONE
NA_peak_5348	ZBTB16 (+39534)
NA_peak_10798	KIFC3 (-46773)
NA_peak_13214	LDLR (-548)
NA_peak_26823	NONE
NA_peak_23597	CAST (-3704)
NA_peak_12849	NONE
NA_peak_26556	EYA4 (-81265)
NA_peak_19915	IL1RAP (+81313)
NA_peak_41	NONE
NA_peak_32720	CYLC1 (-56642)
NA_peak_23954	HSD17B4 (+31763)
NA_peak_27583	VPS41 (+45512)
NA_peak_28478	NONE
NA_peak_1951	NONE
NA_peak_17882	NONE
NA_peak_27223	NONE
NA_peak_9455	NONE
NA_peak_32525	NONE
NA_peak_5040	NONE
NA_peak_1616	NONE
NA_peak_2665	NONE
NA_peak_17728	NONE
NA_peak_14560	PSD4 (-17429)
NA_peak_13287	PEPD (-58673)
NA_peak_24701	DUSP1 (-7213)
NA_peak_8308	MBNL2 (+2780)
NA_peak_32719	CYLC1 (-58463)
NA_peak_21479	MYOZ2 (+5379)
NA_peak_1359	HFE2 (+8837)
NA_peak_3506	NONE
NA_peak_12014	SOX9 (-44831)
NA_peak_12015	SOX9 (-35498)
NA_peak_5456	OR8B8 (-1874)
NA_peak_14160	NONE
NA_peak_31971	FAM9B (-27090)
NA_peak_9993	SLTM (+78968)
NA_peak_5535	NONE
NA_peak_11695	NONE
NA_peak_14760	NONE
NA_peak_19433	SPTSSB (-14336)
NA_peak_31283	TLE4 (+8436)
NA_peak_29216	RBPMS (-1998)
NA_peak_30606	NONE
NA_peak_15285	CSRNP3 (+5479)
NA_peak_2366	NONE
NA_peak_23020	NONE
NA_peak_27079	TBP (-190)
NA_peak_5597	NONE
NA_peak_32344	NONE
NA_peak_22818	CDH6 (+27522)
NA_peak_1688	RALGPS2 (+56881)
NA_peak_6218	NONE
NA_peak_21205	ADH1A (-119)
NA_peak_10940	FTSJD1 (-7172)
NA_peak_10309	GABARAPL3 (+10759)
NA_peak_32780	NONE
NA_peak_22321	NONE
NA_peak_4196	SBF2 (+11906)
NA_peak_8547	DAD1 (+65829)
NA_peak_29759	PKIA (-28788)
NA_peak_20092	NONE
NA_peak_19943	NONE
NA_peak_15426	CHN1 (-50924)
NA_peak_8052	NONE
NA_peak_1101	S1PR1 (+96155)
NA_peak_2702	PRPF18 (+94509)
NA_peak_17360	UQCR10 (+20310)
NA_peak_24699	NEURL1B (-76941)
NA_peak_24937	CD83 (+65677)
NA_peak_15707	NONE
NA_peak_659	NONE
NA_peak_11586	C1QL1 (-20280)
NA_peak_5314	PPP2R1B (+39833)
NA_peak_2983	NONE
NA_peak_11862	MED13 (-25112)
NA_peak_32020	TMSB4X (-4144)
NA_peak_5243	NONE
NA_peak_32535	ZNF157 (-54157)
NA_peak_26048	NONE
NA_peak_23971	NONE
NA_peak_8665	NONE
