# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
NA_peak_1	OR4F5 (-26466)
NA_peak_2	OR4F29 (+93145), OR4F16 (+161268)
NA_peak_3	OR4F16 (+57370), OR4F29 (+197043)
NA_peak_4	OR4F16 (+14401), OR4F29 (+240012)
NA_peak_5	SAMD11 (-153710), OR4F16 (-85355)
NA_peak_6	PLEKHN1 (+2125), HES4 (+31550)
NA_peak_7	HES4 (+4122), PLEKHN1 (+29553)
NA_peak_8	RNF223 (-25412), C1orf159 (+16379)
NA_peak_9	TMEM240 (+8265), ATAD3A (+19917)
NA_peak_10	GABRD (-74901), TMEM52 (-25167)
NA_peak_11	FAM213B (-23875), TNFRSF14 (+6534)
NA_peak_12	MMEL1 (-320535), ACTRT2 (-53082)
NA_peak_13	MMEL1 (-328301), ACTRT2 (-45316)
NA_peak_14	ARHGEF16 (-338937), PRDM16 (+46278)
NA_peak_15	ARHGEF16 (-174421), PRDM16 (+210794)
NA_peak_16	ARHGEF16 (-138598), PRDM16 (+246617)
NA_peak_17	ARHGEF16 (-135940), PRDM16 (+249275)
NA_peak_18	ARHGEF16 (-133698), PRDM16 (+251517)
NA_peak_19	ARHGEF16 (-113778), PRDM16 (+271437)
NA_peak_20	AJAP1 (-520656), C1orf174 (-377600)
NA_peak_21	C1orf174 (-773251), AJAP1 (-125005)
NA_peak_22	AJAP1 (+346656), NPHP4 (+990770)
NA_peak_23	NPHP4 (+538847), AJAP1 (+798579)
NA_peak_24	NPHP4 (+392018), AJAP1 (+945408)
NA_peak_25	NPHP4 (+342278), AJAP1 (+995148)
NA_peak_26	ICMT (-2451)
NA_peak_27	GPR153 (-10312), ACOT7 (+114526)
NA_peak_28	KLHL21 (-1636)
NA_peak_29	CAMTA1 (-1525)
NA_peak_30	VAMP3 (-881282), CAMTA1 (+104663)
NA_peak_31	VAMP3 (-843663), CAMTA1 (+142282)
NA_peak_32	VAMP3 (-815409), CAMTA1 (+170536)
NA_peak_33	PARK7 (-521)
NA_peak_34	SLC45A1 (+53010), RERE (+446628)
NA_peak_35	SLC45A1 (+121684), RERE (+377954)
NA_peak_36	SLC45A1 (+134752), RERE (+364886)
NA_peak_37	SLC45A1 (+168536), RERE (+331102)
NA_peak_38	SLC45A1 (+168881), RERE (+330757)
NA_peak_39	SLC45A1 (+233390), RERE (+266248)
NA_peak_40	SLC45A1 (+243433), RERE (+256205)
NA_peak_41	RERE (+245617), SLC45A1 (+254021)
NA_peak_42	RERE (+217731), SLC45A1 (+281907)
NA_peak_43	RERE (+173889), SLC45A1 (+325749)
NA_peak_44	RERE (+168334), SLC45A1 (+331304)
NA_peak_45	RERE (+150947), SLC45A1 (+348691)
NA_peak_46	RERE (+142887), SLC45A1 (+356751)
NA_peak_47	RERE (+137768), SLC45A1 (+361870)
NA_peak_48	RERE (+116680), SLC45A1 (+382958)
NA_peak_49	RERE (+112612), SLC45A1 (+387026)
NA_peak_50	RERE (+100115), SLC45A1 (+399523)
NA_peak_51	RERE (+94325), SLC45A1 (+405313)
NA_peak_52	RERE (+75275), SLC45A1 (+424363)
NA_peak_53	RERE (+2071), SLC45A1 (+497567)
NA_peak_54	CA6 (-4629)
NA_peak_55	H6PD (-86153), GPR157 (-19452)
NA_peak_56	H6PD (-62523), GPR157 (-43082)
NA_peak_57	SPSB1 (+864)
NA_peak_58	SLC25A33 (-165596), SPSB1 (+81006)
NA_peak_59	SLC25A33 (-103028), SPSB1 (+143574)
NA_peak_60	TMEM201 (-37541), SLC25A33 (+11898)
NA_peak_61	PIK3CD (+37455), CLSTN1 (+135326)
NA_peak_62	CLSTN1 (+64372), PIK3CD (+108409)
NA_peak_63	CLSTN1 (+24279), PIK3CD (+148502)
NA_peak_64	KIF1B (-100284), UBE4B (+76925)
NA_peak_65	KIF1B (-4193)
NA_peak_66	PGD (-130301), KIF1B (+57973)
NA_peak_67	PGD (-111956), KIF1B (+76318)
NA_peak_68	DFFA (-2863), PEX14 (+502)
NA_peak_69	PEX14 (+48873), CASZ1 (+272888)
NA_peak_70	PEX14 (+62687), CASZ1 (+259074)
NA_peak_71	PEX14 (+124764), CASZ1 (+196997)
NA_peak_72	CASZ1 (+123950), PEX14 (+197811)
NA_peak_73	TARDBP (-148508), CASZ1 (-67486)
NA_peak_74	TARDBP (-116818), CASZ1 (-99176)
NA_peak_75	CASZ1 (-166065), TARDBP (-49929)
NA_peak_76	MTOR (-683)
NA_peak_77	PTCHD2 (-170328), UBIAD1 (+35704)
NA_peak_78	PTCHD2 (+13089), FBXO2 (+162355)
NA_peak_79	TNFRSF8 (-44043), MFN2 (+39022)
NA_peak_80	TNFRSF1B (+147568), DHRS3 (+303109)
NA_peak_81	TNFRSF1B (+167006), DHRS3 (+283671)
NA_peak_82	TNFRSF1B (+183243), DHRS3 (+267434)
NA_peak_83	TNFRSF1B (+188759), DHRS3 (+261918)
NA_peak_84	TNFRSF1B (+193426), DHRS3 (+257251)
NA_peak_85	TNFRSF1B (+208518), DHRS3 (+242159)
NA_peak_86	TNFRSF1B (+214332), DHRS3 (+236345)
NA_peak_87	TNFRSF1B (+218136), DHRS3 (+232541)
NA_peak_88	DHRS3 (+215294), TNFRSF1B (+235383)
NA_peak_89	DHRS3 (+164068), TNFRSF1B (+286609)
NA_peak_90	DHRS3 (+162503), TNFRSF1B (+288174)
NA_peak_91	DHRS3 (+155678), TNFRSF1B (+294999)
NA_peak_92	DHRS3 (+79638), TNFRSF1B (+371039)
NA_peak_93	AADACL3 (-61780), AADACL4 (+9800)
NA_peak_94	PRAMEF12 (-23365), AADACL3 (+35473)
NA_peak_95	PRDM2 (-878)
NA_peak_96	KAZN (-870272), PRDM2 (+23578)
NA_peak_97	KAZN (-759123), PRDM2 (+134727)
NA_peak_98	KAZN (-721161), PRDM2 (+172689)
NA_peak_99	KAZN (-689295), PRDM2 (+204555)
NA_peak_100	KAZN (-349668), PRDM2 (+544182)
NA_peak_101	KAZN (-337204), PRDM2 (+556646)
NA_peak_102	KAZN (-282205), PRDM2 (+611645)
NA_peak_103	KAZN (-99726), PRDM2 (+794124)
NA_peak_104	KAZN (-99191), PRDM2 (+794659)
