logFC	AveExpr	t	P.Value	adj.P.Val	B	PP2_Het_82_d14_1	PP2_Het_82_d14_2	PP2_Het_374_d14_1	PP2_Het_374_d14_2	PP2_WT_d14_1	PP2_WT_d14_2
TMEM229A	-4.97032504783235	11.1912195718067	-36.9771469743814	6.09708670255514e-09	0.000198624793509139	10.4630130250745	12.8995590455318	12.7967763766512	12.8406147742846	12.8550281545356	7.71610226935881	8.03923681047813
GSTA5	-4.04972526016542	11.8471132061406	-31.0797193090308	1.9219029210535e-08	0.000311922517593436	9.75016841544972	13.2833463802218	13.1455513578545	13.2425835933641	13.1166051733424	9.02625146113975	9.26834127092087
CXCL14	-6.45763032656752	14.0687729583716	-29.24358534197	2.87247921165334e-08	0.000311922517593436	9.47427328940553	16.3651547666817	15.9682897410645	16.0691768121518	16.4826442823451	9.48685660729235	10.0405155406942
KCNK12	-3.77808104530108	10.8360397996859	-25.8403965614933	6.49195431097878e-08	0.000328777462688749	8.87425029375396	12.2934775243472	12.0274487578498	12.0190808806297	12.0415934296515	8.18630837462518	8.44832983101177
SCHIP1	-3.18091060135425	11.996756826181	-25.0006068603657	8.06898174738049e-08	0.000328777462688749	8.70548227038309	13.0669356076955	12.965255881	13.0764975419899	13.1195524091775	9.75752826219389	9.99477125502913
PRRT4	-4.82919527929408	9.20676702939042	-24.5538333076994	9.08531806560101e-08	0.000328777462688749	8.61192197960272	10.7303176606793	10.485485138059	10.8922167842024	11.1579755736797	5.96712120389368	6.00748581582838
PITX2	-3.90042371134676	14.0685006585448	-24.4601268646741	9.31671590845294e-08	0.000328777462688749	8.59195332261431	15.2321771294549	15.1926976129273	15.5951108107595	15.4545820295	11.3830145445702	11.5534218240571
HTR1E	-3.62535922632812	8.39007840766123	-24.1154685333557	1.02280621205725e-07	0.000328777462688749	8.51745184031778	9.52703323896229	9.55973735301517	9.75631465707183	9.55104068336646	5.79433666182613	6.1520078517255
IHH	-4.59442108191717	12.7434596463182	-23.879482317819	1.09112174586399e-07	0.000328777462688749	8.46546562191611	14.2209446379362	14.2951499798386	14.4974772370873	14.0861615063004	9.41885512850961	9.94216938823727
HAND2	-3.35312026782763	7.03779515177867	-23.6048061815683	1.17733796098772e-07	0.000328777462688749	8.40393372554071	8.13118689377626	8.02684175532252	8.08754618156952	8.37643280021654	4.74891519785624	4.85584808193093
LGALS3	-3.2753845634814	16.1188155362425	-23.5589710114648	1.19247458719046e-07	0.000328777462688749	8.39355712735422	17.1727318577293	17.1471575217006	17.3069695433012	17.2155826402141	14.0995335925899	13.77091806192
LGALS2	-2.80134631900045	11.7492939810505	-22.7772317265675	1.48845232997877e-07	0.000328777462688749	8.21163678848879	12.7709376172652	12.6093211455669	12.7268584514218	12.6251871352822	9.80074224378449	9.96271729298265
SLN	-6.205399390665	9.34870880143003	-22.6446441048963	1.54662683199647e-07	0.000328777462688749	8.17983005436781	11.3489088639527	11.0297068207067	11.328293698342	11.9617916769388	4.98449567985444	5.43905606878563
CD70	-2.53191308533482	8.81595884622481	-22.1021412762238	1.81351581409472e-07	0.000328777462688749	8.04668874878102	9.64523854385081	9.68672785204525	9.58617031110964	9.72158279167328	7.17060951246245	7.08542406620742
ANGPT1	-3.22796349710222	7.46399464814224	-22.0898356595141	1.82015640626167e-07	0.000328777462688749	8.04361166053444	8.51674507177481	8.37765307553122	8.50493584474495	8.76059592998759	5.24164684031644	5.38239112649841
